Country,Alpha-2,Alpha-3,Subregion
Austria,AT,AUT,Central Europe
Belgium,BE,BEL,Western Europe
Bulgaria,BG,BGR,Southeastern Europe
Croatia,HR,HRV,Southeastern Europe
Czech Republic,CZ,CZE,Central Europe
Denmark,DK,DNK,Northern Europe
Estonia,EE,EST,Eastern Europe
Finland,FI,FIN,Northern Europe
France,FR,FRA,Western Europe
Germany,DE,DEU,Central Europe
Greece,GR,GRC,Southern Europe
Hungary,HU,HUN,Central Europe
Iceland,IS,ISL,Northern Europe
Ireland,IE,IRL,Western Europe
Italy,IT,ITA,Southern Europe
Latvia,LV,LVA,Eastern Europe
Lithuania,LT,LTU,Eastern Europe
Luxembourg,LU,LUX,Western Europe
Netherlands,NL,NLD,Western Europe
Norway,NO,NOR,Northern Europe
Poland,PL,POL,Central Europe
Portugal,PT,PRT,Southwestern Europe
Romania,RO,ROU,Southeastern Europe
Slovakia,SK,SVK,Central Europe
Slovenia,SI,SVN,Central Europe
Spain,ES,ESP,Southwestern Europe
Sweden,SE,SWE,Northern Europe
Switzerland,CH,CHE,Central Europe
Turkey,TR,TUR,Southeastern Europe
United Kingdom,GB,GBR,Western Europe
